Program "PAW_protein_grouper.py" run on Fri Feb  8 15:55:01 2019


	=SUBTOTAL(109,B6:B5432)													Total	Unique	Corrected
2894	1	sp|Q8BPU7|ELMO1_MOUSE	 	 	sp|Q8BHL5|ELMO2_MOUSE, sp|Q8BPU7|ELMO1_MOUSE	 	28.6	727	83935	Engulfment and cell motility protein 1 OS=Mus musculus OX=10090 GN=Elmo1 PE=1 SV=2	35	29	0.829	35	29	33.462
2895	1	sp|Q8BPX9|S15A3_MOUSE	 	 	 	 	3.8	578	64050	Solute carrier family 15 member 3 OS=Mus musculus OX=10090 GN=Slc15a3 PE=2 SV=1	6	6	1.000	6	6	6.000
2896	1	sp|Q8BQ30|PPR18_MOUSE	 	 	 	 	21.5	594	65629	Phostensin OS=Mus musculus OX=10090 GN=Ppp1r18 PE=1 SV=1	11	11	1.000	11	11	11.000
2897	1	sp|Q8BQ47|CNPY4_MOUSE	 	 	 	 	31.0	245	28093	Protein canopy homolog 4 OS=Mus musculus OX=10090 GN=Cnpy4 PE=1 SV=1	11	11	1.000	11	11	11.000
2898	1	sp|Q8BQM4|HEAT3_MOUSE	 	 	 	 	11.9	679	74305	HEAT repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Heatr3 PE=1 SV=1	7	7	1.000	7	7	7.000
2899	1	sp|Q8BQZ4|RLGPB_MOUSE	 	 	 	 	2.9	1484	165198	Ral GTPase-activating protein subunit beta OS=Mus musculus OX=10090 GN=Ralgapb PE=1 SV=2	3	3	1.000	3	3	3.000
2900	1	sp|Q8BQZ5|CPSF4_MOUSE	 	 	 	 	14.2	211	23653	Cleavage and polyadenylation specificity factor subunit 4 OS=Mus musculus OX=10090 GN=Cpsf4 PE=2 SV=1	2	2	1.000	2	2	2.000
2901	1	sp|Q8BR63|F177A_MOUSE	 	 	 	 	19.3	207	23578	Protein FAM177A1 OS=Mus musculus OX=10090 GN=Fam177a1 PE=1 SV=1	5	5	1.000	5	5	5.000
2902	1	sp|Q8BR65|SDS3_MOUSE	 	 	 	 	12.5	328	38107	Sin3 histone deacetylase corepressor complex component SDS3 OS=Mus musculus OX=10090 GN=Suds3 PE=1 SV=1	5	5	1.000	5	5	5.000
2903	1	sp|Q8BRB7|KAT6B_MOUSE	 	 	sp|Q5SVQ0|KAT7_MOUSE, sp|Q61103|REQU_MOUSE, sp|Q8BRB7|KAT6B_MOUSE, sp|Q8BZ21|KAT6A_MOUSE, sp|Q9D1P2|KAT8_MOUSE	 	1.0	1872	208524	Histone acetyltransferase KAT6B OS=Mus musculus OX=10090 GN=Kat6b PE=1 SV=3	2	0	0.000	2	0	0.000
2904	1	sp|Q8BRF7|SCFD1_MOUSE	 	 	 	 	32.2	639	72322	Sec1 family domain-containing protein 1 OS=Mus musculus OX=10090 GN=Scfd1 PE=1 SV=1	20	20	1.000	20	20	20.000
2905	1	sp|Q8BRG8|TM209_MOUSE	 	 	 	 	18.2	561	62981	Transmembrane protein 209 OS=Mus musculus OX=10090 GN=Tmem209 PE=2 SV=1	6	6	1.000	6	6	6.000
2906	1	sp|Q8BRH0|TMTC3_MOUSE	 	 	 	 	3.3	920	104196	Protein O-mannosyl-transferase TMTC3 OS=Mus musculus OX=10090 GN=Tmtc3 PE=1 SV=2	2	2	1.000	2	2	2.000
2907	1	sp|Q8BRK9|MA2A2_MOUSE	 	 	sp|P27046|MA2A1_MOUSE, sp|Q8BRK9|MA2A2_MOUSE	 	4.0	1152	130647	Alpha-mannosidase 2x OS=Mus musculus OX=10090 GN=Man2a2 PE=1 SV=2	4	3	0.750	4	3	3.097
2908	1	sp|Q8BRN9|C2D1B_MOUSE	 	 	 	 	18.8	848	93090	Coiled-coil and C2 domain-containing protein 1B OS=Mus musculus OX=10090 GN=Cc2d1b PE=1 SV=1	11	11	1.000	11	11	11.000
2909	1	sp|Q8BRT1|CLAP2_MOUSE	 	 	sp|Q80TV8|CLAP1_MOUSE, sp|Q8BRT1|CLAP2_MOUSE	 	16.4	1286	140737	CLIP-associating protein 2 OS=Mus musculus OX=10090 GN=Clasp2 PE=1 SV=1	16	15	0.938	16	15	15.484
2910	1	sp|Q8BSF4|PISD_MOUSE (+1)	sp|Q8BSF4|PISD_MOUSE&tr|F6TVX7|F6TVX7_MOUSE	 	 	 	16.0	406	45926	Phosphatidylserine decarboxylase proenzyme, mitochondrial OS=Mus musculus OX=10090 GN=Pisd PE=2 SV=1	7	7	1.000	7	7	7.000
2911	1	sp|Q8BSK8|KS6B1_MOUSE	 	 	 	 	5.3	525	59145	Ribosomal protein S6 kinase beta-1 OS=Mus musculus OX=10090 GN=Rps6kb1 PE=1 SV=2	2	2	1.000	2	2	2.000
2912	1	sp|Q8BSP2|CNDH2_MOUSE	 	 	 	 	6.9	607	68945	Condensin-2 complex subunit H2 OS=Mus musculus OX=10090 GN=Ncaph2 PE=1 SV=1	4	4	1.000	4	4	4.000
2913	1	sp|Q8BSQ9|PB1_MOUSE	 	 	 	 	23.3	1634	187186	Protein polybromo-1 OS=Mus musculus OX=10090 GN=Pbrm1 PE=1 SV=4	34	34	1.000	34	34	34.000
2914	1	sp|Q8BSY0|ASPH_MOUSE	 	 	 	 	22.5	741	83041	Aspartyl/asparaginyl beta-hydroxylase OS=Mus musculus OX=10090 GN=Asph PE=1 SV=1	19	19	1.000	19	19	19.000
2915	1	sp|Q8BT07|CEP55_MOUSE	 	 	 	 	18.4	462	53930	Centrosomal protein of 55 kDa OS=Mus musculus OX=10090 GN=Cep55 PE=1 SV=2	9	9	1.000	9	9	9.000
2916	1	sp|Q8BT51|COA4_MOUSE	 	 	 	 	27.6	87	10135	Cytochrome c oxidase assembly factor 4 homolog, mitochondrial OS=Mus musculus OX=10090 GN=COA4 PE=3 SV=1	3	3	1.000	3	3	3.000
2917	1	sp|Q8BT60|CPNE3_MOUSE	 	 	sp|P59108|CPNE2_MOUSE, sp|Q8BT60|CPNE3_MOUSE	 	39.4	533	59584	Copine-3 OS=Mus musculus OX=10090 GN=Cpne3 PE=1 SV=2	31	30	0.968	31	30	30.667
2918	1	sp|Q8BTI7|ANR52_MOUSE	 	 	 	 	11.2	1076	115030	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C OS=Mus musculus OX=10090 GN=Ankrd52 PE=1 SV=1	10	10	1.000	10	10	10.000
2919	1	sp|Q8BTI8|SRRM2_MOUSE	 	 	 	 	9.2	2703	294837	Serine/arginine repetitive matrix protein 2 OS=Mus musculus OX=10090 GN=Srrm2 PE=1 SV=3	26	26	1.000	26	26	26.000
2920	1	sp|Q8BTI9|PK3CB_MOUSE	 	 	sp|O35904|PK3CD_MOUSE, sp|Q8BTI9|PK3CB_MOUSE	 	3.5	1064	121709	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform OS=Mus musculus OX=10090 GN=Pik3cb PE=1 SV=2	3	2	0.667	3	2	2.333
2921	1	sp|Q8BTJ4|ENPP4_MOUSE	 	 	 	 	6.8	456	51611	Bis(5'-adenosyl)-triphosphatase enpp4 OS=Mus musculus OX=10090 GN=Enpp4 PE=1 SV=1	3	3	1.000	3	3	3.000
2922	1	sp|Q8BTM8|FLNA_MOUSE	 	 	sp|Q80X90|FLNB_MOUSE, sp|Q8BTM8|FLNA_MOUSE, sp|Q8VHX6|FLNC_MOUSE	 	61.3	2647	281218	Filamin-A OS=Mus musculus OX=10090 GN=Flna PE=1 SV=5	367	351	0.956	367	351	363.580
2923	1	sp|Q8BTS4|NUP54_MOUSE	 	 	 	 	15.7	510	55731	Nuclear pore complex protein Nup54 OS=Mus musculus OX=10090 GN=Nup54 PE=1 SV=1	10	10	1.000	10	10	10.000
2924	1	sp|Q8BTT6|DIEXF_MOUSE	 	 	 	 	7.3	772	88817	Digestive organ expansion factor homolog OS=Mus musculus OX=10090 GN=Diexf PE=2 SV=2	6	6	1.000	6	6	6.000
2925	1	sp|Q8BTU1|CFA20_MOUSE	 	 	 	 	16.1	193	22748	Cilia- and flagella-associated protein 20 OS=Mus musculus OX=10090 GN=Cfap20 PE=1 SV=1	4	4	1.000	4	4	4.000
2926	1	sp|Q8BTV1|TUSC3_MOUSE	 	 	 	 	6.9	347	39548	Tumor suppressor candidate 3 OS=Mus musculus OX=10090 GN=Tusc3 PE=1 SV=1	3	3	1.000	3	3	3.000
2927	1	sp|Q8BTV2|CPSF7_MOUSE	 	 	 	 	13.6	471	52010	Cleavage and polyadenylation specificity factor subunit 7 OS=Mus musculus OX=10090 GN=Cpsf7 PE=1 SV=2	6	6	1.000	6	6	6.000
2928	1	sp|Q8BTW3|EXOS6_MOUSE	 	 	 	 	27.8	273	28370	Exosome complex component MTR3 OS=Mus musculus OX=10090 GN=Exosc6 PE=1 SV=1	6	6	1.000	6	6	6.000
2929	1	sp|Q8BTX9|HSDL1_MOUSE	 	 	 	 	22.1	330	36867	Inactive hydroxysteroid dehydrogenase-like protein 1 OS=Mus musculus OX=10090 GN=Hsdl1 PE=1 SV=1	7	7	1.000	7	7	7.000
2930	1	sp|Q8BTY2|S4A7_MOUSE	 	 	 	 	2.3	1034	116513	Sodium bicarbonate cotransporter 3 OS=Mus musculus OX=10090 GN=Slc4a7 PE=1 SV=2	2	2	1.000	2	2	2.000
2931	1	sp|Q8BTY8|SCFD2_MOUSE	 	 	 	 	4.1	684	74750	Sec1 family domain-containing protein 2 OS=Mus musculus OX=10090 GN=Scfd2 PE=1 SV=1	5	5	1.000	5	5	5.000
2932	1	sp|Q8BTZ4|APC5_MOUSE	 	 	 	 	7.7	740	83097	Anaphase-promoting complex subunit 5 OS=Mus musculus OX=10090 GN=Anapc5 PE=1 SV=1	4	4	1.000	4	4	4.000
2933	1	sp|Q8BTZ5|ANR46_MOUSE	 	 	 	 	9.6	228	25222	Ankyrin repeat domain-containing protein 46 OS=Mus musculus OX=10090 GN=Ankrd46 PE=1 SV=1	2	2	1.000	2	2	2.000
2934	1	sp|Q8BTZ7|GMPPB_MOUSE	 	 	 	 	37.2	360	39916	Mannose-1-phosphate guanyltransferase beta OS=Mus musculus OX=10090 GN=Gmppb PE=1 SV=1	13	13	1.000	13	13	13.000
2935	1	sp|Q8BU03|PWP2_MOUSE	 	 	 	 	14.7	919	102908	Periodic tryptophan protein 2 homolog OS=Mus musculus OX=10090 GN=Pwp2 PE=1 SV=1	13	13	1.000	13	13	13.000
2936	1	sp|Q8BU04|UBR7_MOUSE	 	 	 	 	5.6	425	48064	Putative E3 ubiquitin-protein ligase UBR7 OS=Mus musculus OX=10090 GN=Ubr7 PE=1 SV=1	3	3	1.000	3	3	3.000
2937	1	sp|Q8BU11|TOX4_MOUSE	 	 	 	 	6.6	619	65961	TOX high mobility group box family member 4 OS=Mus musculus OX=10090 GN=Tox4 PE=1 SV=3	3	3	1.000	3	3	3.000
2938	1	sp|Q8BU14|SEC62_MOUSE	 	 	 	 	6.8	398	45580	Translocation protein SEC62 OS=Mus musculus OX=10090 GN=Sec62 PE=1 SV=1	4	4	1.000	4	4	4.000
2939	1	sp|Q8BU30|SYIC_MOUSE	 	 	 	 	34.2	1262	144269	Isoleucine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Iars PE=1 SV=2	53	53	1.000	53	53	53.000
2940	1	sp|Q8BU31|RAP2C_MOUSE	 	 	sp|P61226|RAP2B_MOUSE, sp|Q8BU31|RAP2C_MOUSE	 	63.4	183	20745	Ras-related protein Rap-2c OS=Mus musculus OX=10090 GN=Rap2c PE=1 SV=1	14	10	0.714	14	10	12.857
2941	1	sp|Q8BU33|ILVBL_MOUSE	 	 	 	 	12.0	632	68155	Acetolactate synthase-like protein OS=Mus musculus OX=10090 GN=Ilvbl PE=1 SV=1	5	5	1.000	5	5	5.000
2942	1	sp|Q8BU88|RM22_MOUSE	 	 	 	 	5.8	206	23805	39S ribosomal protein L22, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl22 PE=1 SV=1	2	2	1.000	2	2	2.000
2943	1	sp|Q8BUB4|WDFY2_MOUSE	 	 	 	 	28.8	400	45094	WD repeat and FYVE domain-containing protein 2 OS=Mus musculus OX=10090 GN=Wdfy2 PE=1 SV=2	10	10	1.000	10	10	10.000
2944	1	sp|Q8BUE4|AIFM2_MOUSE	 	 	 	 	25.2	373	40634	Apoptosis-inducing factor 2 OS=Mus musculus OX=10090 GN=Aifm2 PE=1 SV=1	10	10	1.000	10	10	10.000
2945	1	sp|Q8BUI3|LRWD1_MOUSE	 	 	 	 	14.4	648	71593	Leucine-rich repeat and WD repeat-containing protein 1 OS=Mus musculus OX=10090 GN=LRWD1 PE=2 SV=1	7	7	1.000	7	7	7.000
2946	1	sp|Q8BUK6|HOOK3_MOUSE	 	 	 	 	17.0	718	83217	Protein Hook homolog 3 OS=Mus musculus OX=10090 GN=Hook3 PE=1 SV=2	12	12	1.000	12	12	12.000
2947	1	sp|Q8BUM3|PTN7_MOUSE	 	 	 	 	38.2	359	40351	Tyrosine-protein phosphatase non-receptor type 7 OS=Mus musculus OX=10090 GN=Ptpn7 PE=1 SV=1	12	12	1.000	12	12	12.000
2948	1	sp|Q8BUR4|DOCK1_MOUSE	 	 	sp|B2RY04|DOCK5_MOUSE, sp|Q8BUR4|DOCK1_MOUSE	 	2.3	1865	215083	Dedicator of cytokinesis protein 1 OS=Mus musculus OX=10090 GN=Dock1 PE=1 SV=3	4	3	0.750	4	3	3.250
2949	1	sp|Q8BUR9|MZT1_MOUSE	 	 	 	 	34.6	78	8132	Mitotic-spindle organizing protein 1 OS=Mus musculus OX=10090 GN=Mzt1 PE=1 SV=1	2	2	1.000	2	2	2.000
2950	1	sp|Q8BUV3|GEPH_MOUSE	 	 	 	 	10.1	769	83281	Gephyrin OS=Mus musculus OX=10090 GN=Gphn PE=1 SV=2	6	6	1.000	6	6	6.000
2951	1	sp|Q8BUY5|TIDC1_MOUSE	 	 	 	 	7.7	285	31791	Complex I assembly factor TIMMDC1, mitochondrial OS=Mus musculus OX=10090 GN=Timmdc1 PE=1 SV=1	2	2	1.000	2	2	2.000
2952	1	sp|Q8BV13|CSN7B_MOUSE	 	 	 	 	11.4	264	29689	COP9 signalosome complex subunit 7b OS=Mus musculus OX=10090 GN=Cops7b PE=1 SV=1	2	2	1.000	2	2	2.000
2953	1	sp|Q8BV49|IFIX_MOUSE	 	 	sp|O35368|IFI3_MOUSE, sp|P0DOV2|IFI4_MOUSE, sp|Q8BV49|IFIX_MOUSE, tr|E9Q3L4|E9Q3L4_MOUSE	 	32.6	420	46886	Pyrin and HIN domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pyhin1 PE=1 SV=1	14	13	0.929	14	13	13.310
2954	1	sp|Q8BVA5|LDAH_MOUSE	 	 	 	 	11.0	326	37374	Lipid droplet-associated hydrolase OS=Mus musculus OX=10090 GN=Ldah PE=1 SV=1	3	3	1.000	3	3	3.000
2955	1	sp|Q8BVD5|MPP7_MOUSE	 	 	 	 	4.0	576	65539	MAGUK p55 subfamily member 7 OS=Mus musculus OX=10090 GN=Mpp7 PE=1 SV=2	2	2	1.000	2	2	2.000
2956	1	sp|Q8BVE3|VATH_MOUSE	 	 	 	 	30.2	483	55854	V-type proton ATPase subunit H OS=Mus musculus OX=10090 GN=Atp6v1h PE=1 SV=1	21	21	1.000	21	21	21.000
2957	1	sp|Q8BVE8|NSD2_MOUSE	 	 	 	 	6.7	1365	152251	Histone-lysine N-methyltransferase NSD2 OS=Mus musculus OX=10090 GN=Nsd2 PE=1 SV=2	7	7	1.000	7	7	7.000
2958	1	sp|Q8BVF2|PDCL3_MOUSE	 	 	 	 	35.8	240	27581	Phosducin-like protein 3 OS=Mus musculus OX=10090 GN=Pdcl3 PE=1 SV=1	9	9	1.000	9	9	9.000
2959	1	sp|Q8BVG4|DPP9_MOUSE	 	 	sp|Q80YA7|DPP8_MOUSE, sp|Q8BVG4|DPP9_MOUSE	 	8.8	862	98000	Dipeptidyl peptidase 9 OS=Mus musculus OX=10090 GN=Dpp9 PE=1 SV=2	9	7	0.778	9	7	8.556
2960	1	sp|Q8BVI4|DHPR_MOUSE	 	 	 	 	37.3	241	25570	Dihydropteridine reductase OS=Mus musculus OX=10090 GN=Qdpr PE=1 SV=2	12	12	1.000	12	12	12.000
2961	1	sp|Q8BVI5|STX16_MOUSE	 	 	 	 	12.0	326	37080	Syntaxin-16 OS=Mus musculus OX=10090 GN=Stx16 PE=1 SV=3	3	3	1.000	3	3	3.000
2962	1	sp|Q8BVK9|SP110_MOUSE	 	 	sp|Q8BVK9|SP110_MOUSE, tr|Q8C898|Q8C898_MOUSE	 	25.8	445	50140	Sp110 nuclear body protein OS=Mus musculus OX=10090 GN=Sp110 PE=1 SV=1	15	14	0.933	15	14	15.000
2963	1	sp|Q8BVL3|SNX17_MOUSE	 	 	 	 	16.2	470	52797	Sorting nexin-17 OS=Mus musculus OX=10090 GN=Snx17 PE=1 SV=2	9	9	1.000	9	9	9.000
2964	1	sp|Q8BVP5|KC1G2_MOUSE (+1)	sp|Q8BVP5|KC1G2_MOUSE&sp|Q8C4X2|KC1G3_MOUSE	 	 	 	9.2	415	47582	Casein kinase I isoform gamma-2 OS=Mus musculus OX=10090 GN=Csnk1g2 PE=1 SV=1	4	4	1.000	4	4	4.000
2965	1	sp|Q8BVQ5|PPME1_MOUSE	 	 	 	 	14.8	386	42256	Protein phosphatase methylesterase 1 OS=Mus musculus OX=10090 GN=Ppme1 PE=1 SV=5	11	11	1.000	11	11	11.000
2966	1	sp|Q8BVU0|LRCH3_MOUSE	 	 	 	 	12.2	778	86340	Leucine-rich repeat and calponin homology domain-containing protein 3 OS=Mus musculus OX=10090 GN=Lrch3 PE=1 SV=3	7	7	1.000	7	7	7.000
2967	1	sp|Q8BVU5|NUDT9_MOUSE	 	 	 	 	10.0	350	38604	ADP-ribose pyrophosphatase, mitochondrial OS=Mus musculus OX=10090 GN=Nudt9 PE=1 SV=1	4	4	1.000	4	4	4.000
2968	1	sp|Q8BVW0|GANC_MOUSE	 	 	 	 	4.1	898	102006	Neutral alpha-glucosidase C OS=Mus musculus OX=10090 GN=Ganc PE=1 SV=2	4	4	1.000	4	4	4.000
2969	1	sp|Q8BVW3|TRI14_MOUSE	 	 	 	 	33.2	440	49640	Tripartite motif-containing protein 14 OS=Mus musculus OX=10090 GN=Trim14 PE=1 SV=2	14	14	1.000	14	14	14.000
2970	1	sp|Q8BVY0|RL1D1_MOUSE	 	 	 	 	32.7	452	50421	Ribosomal L1 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rsl1d1 PE=1 SV=1	20	20	1.000	20	20	20.000
2971	1	sp|Q8BW10|NOB1_MOUSE	 	 	 	 	17.1	403	45463	RNA-binding protein NOB1 OS=Mus musculus OX=10090 GN=Nob1 PE=1 SV=1	7	7	1.000	7	7	7.000
2972	1	sp|Q8BW72|KDM4A_MOUSE	 	 	sp|Q8BW72|KDM4A_MOUSE, sp|Q91VY5|KDM4B_MOUSE	 	8.7	1064	120333	Lysine-specific demethylase 4A OS=Mus musculus OX=10090 GN=Kdm4a PE=1 SV=3	9	8	0.889	9	8	8.533
2973	1	sp|Q8BW75|AOFB_MOUSE	 	 	sp|Q64133|AOFA_MOUSE, sp|Q8BW75|AOFB_MOUSE	 	4.4	520	58557	Amine oxidase [flavin-containing] B OS=Mus musculus OX=10090 GN=Maob PE=1 SV=4	2	1	0.500	2	1	1.125
2974	1	sp|Q8BW96|KCC1D_MOUSE	 	 	sp|Q8BW96|KCC1D_MOUSE, sp|Q91YS8|KCC1A_MOUSE	 	14.5	385	42918	Calcium/calmodulin-dependent protein kinase type 1D OS=Mus musculus OX=10090 GN=Camk1d PE=1 SV=2	5	3	0.600	5	3	3.750
2975	1	sp|Q8BWD8|CDK19_MOUSE	 	 	 	 	7.8	501	56569	Cyclin-dependent kinase 19 OS=Mus musculus OX=10090 GN=Cdk19 PE=2 SV=1	3	3	1.000	3	3	3.000
2976	1	sp|Q8BWG8|ARRB1_MOUSE	 	 	sp|Q8BWG8|ARRB1_MOUSE, sp|Q91YI4|ARRB2_MOUSE	 	31.1	418	46972	Beta-arrestin-1 OS=Mus musculus OX=10090 GN=Arrb1 PE=1 SV=1	19	18	0.947	19	18	18.562
2977	1	sp|Q8BWJ3|KPB2_MOUSE	 	 	 	 	3.2	1235	138491	Phosphorylase b kinase regulatory subunit alpha, liver isoform OS=Mus musculus OX=10090 GN=Phka2 PE=1 SV=1	3	3	1.000	3	3	3.000
2978	1	sp|Q8BWM0|PGES2_MOUSE	 	 	 	 	20.1	384	43323	Prostaglandin E synthase 2 OS=Mus musculus OX=10090 GN=Ptges2 PE=1 SV=3	6	6	1.000	6	6	6.000
2979	1	sp|Q8BWQ6|CP062_MOUSE	 	 	 	 	12.0	963	109076	UPF0505 protein C16orf62 homolog OS=Mus musculus OX=10090 PE=1 SV=2	11	11	1.000	11	11	11.000
2980	1	sp|Q8BWR2|PITH1_MOUSE	 	 	sp|Q505D7|OPA3_MOUSE, sp|Q8BWR2|PITH1_MOUSE	 	21.8	211	24192	PITH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pithd1 PE=1 SV=1	3	2	0.667	3	2	2.667
2981	1	sp|Q8BWT1|THIM_MOUSE	 	 	 	 	62.0	397	41829	3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3	30	30	1.000	30	30	30.000
2982	1	sp|Q8BWT5|DIP2A_MOUSE	 	 	sp|Q3UH60|DIP2B_MOUSE, sp|Q8BWT5|DIP2A_MOUSE, tr|E9PWR4|E9PWR4_MOUSE	 	1.4	1523	165253	Disco-interacting protein 2 homolog A OS=Mus musculus OX=10090 GN=Dip2a PE=1 SV=3	3	0	0.000	3	0	0.500
2983	1	sp|Q8BWU5|OSGEP_MOUSE	 	 	 	 	31.9	335	36300	Probable tRNA N6-adenosine threonylcarbamoyltransferase OS=Mus musculus OX=10090 GN=Osgep PE=1 SV=2	9	9	1.000	9	9	9.000
2984	1	sp|Q8BWW4|LARP4_MOUSE	 	 	 	 	13.5	719	79763	La-related protein 4 OS=Mus musculus OX=10090 GN=Larp4 PE=1 SV=2	8	8	1.000	8	8	8.000
2985	1	sp|Q8BWW9|PKN2_MOUSE	 	 	sp|P70268|PKN1_MOUSE, sp|Q8BWW9|PKN2_MOUSE	 	3.6	983	111606	Serine/threonine-protein kinase N2 OS=Mus musculus OX=10090 GN=Pkn2 PE=1 SV=3	4	3	0.750	4	3	3.103
2986	1	sp|Q8BWY3|ERF1_MOUSE	 	 	 	 	42.1	437	49030	Eukaryotic peptide chain release factor subunit 1 OS=Mus musculus OX=10090 GN=Etf1 PE=1 SV=4	32	32	1.000	32	32	32.000
2987	1	sp|Q8BWY4|MBLC1_MOUSE	 	 	 	 	12.3	260	26923	Metallo-beta-lactamase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Mblac1 PE=1 SV=1	3	3	1.000	3	3	3.000
2988	1	sp|Q8BWY9|CIP2A_MOUSE	 	 	 	 	5.6	907	102042	Protein CIP2A OS=Mus musculus OX=10090 GN=Cip2a PE=1 SV=3	5	5	1.000	5	5	5.000
2989	1	sp|Q8BWZ3|NAA25_MOUSE	 	 	 	 	14.7	972	111706	N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Mus musculus OX=10090 GN=Naa25 PE=1 SV=1	13	13	1.000	13	13	13.000
2990	1	sp|Q8BX09|RBBP5_MOUSE	 	 	 	 	28.8	538	59097	Retinoblastoma-binding protein 5 OS=Mus musculus OX=10090 GN=Rbbp5 PE=1 SV=2	15	15	1.000	15	15	15.000
2991	1	sp|Q8BX10|PGAM5_MOUSE	 	 	 	 	30.2	288	31994	Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Mus musculus OX=10090 GN=Pgam5 PE=1 SV=1	10	10	1.000	10	10	10.000
2992	1	sp|Q8BX17|GEMI5_MOUSE	 	 	 	 	12.0	1502	166590	Gem-associated protein 5 OS=Mus musculus OX=10090 GN=Gemin5 PE=1 SV=2	17	17	1.000	17	17	17.000
2993	1	sp|Q8BX43|TR19L_MOUSE	 	 	 	 	7.3	436	46518	Tumor necrosis factor receptor superfamily member 19L OS=Mus musculus OX=10090 GN=Relt PE=2 SV=2	2	2	1.000	2	2	2.000
2994	1	sp|Q8BX57|PXK_MOUSE	 	 	 	 	3.3	582	65230	PX domain-containing protein kinase-like protein OS=Mus musculus OX=10090 GN=Pxk PE=1 SV=2	2	2	1.000	2	2	2.000
2995	1	sp|Q8BX70|VP13C_MOUSE	 	 	 	 	7.2	3748	420084	Vacuolar protein sorting-associated protein 13C OS=Mus musculus OX=10090 GN=Vps13c PE=1 SV=2	21	21	1.000	21	21	21.000
2996	1	sp|Q8BX90|FND3A_MOUSE	 	 	 	 	19.0	1198	131957	Fibronectin type-III domain-containing protein 3A OS=Mus musculus OX=10090 GN=Fndc3a PE=1 SV=3	23	23	1.000	23	23	23.000
2997	1	sp|Q8BXA1|GOLI4_MOUSE	 	 	 	 	6.9	655	76784	Golgi integral membrane protein 4 OS=Mus musculus OX=10090 GN=Golim4 PE=1 SV=1	5	5	1.000	5	5	5.000
2998	1	sp|Q8BXA5|CLP1L_MOUSE	 	 	 	 	5.4	539	62183	Cleft lip and palate transmembrane protein 1-like protein OS=Mus musculus OX=10090 GN=Clptm1l PE=1 SV=1	3	3	1.000	3	3	3.000
2999	1	sp|Q8BXC6|COMD2_MOUSE	 	 	 	 	10.1	199	22848	COMM domain-containing protein 2 OS=Mus musculus OX=10090 GN=Commd2 PE=1 SV=1	2	2	1.000	2	2	2.000
3000	1	sp|Q8BXK8|AGAP1_MOUSE	 	 	sp|Q8BXK8|AGAP1_MOUSE, sp|Q8VHH5|AGAP3_MOUSE	 	3.2	857	94410	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Agap1 PE=1 SV=1	2	1	0.500	2	1	1.500
3001	1	sp|Q8BXQ2|PIGT_MOUSE	 	 	 	 	7.9	582	65704	GPI transamidase component PIG-T OS=Mus musculus OX=10090 GN=Pigt PE=1 SV=2	5	5	1.000	5	5	5.000
3002	1	sp|Q8BXV2|BRI3B_MOUSE	 	 	 	 	16.6	253	28263	BRI3-binding protein OS=Mus musculus OX=10090 GN=Bri3bp PE=1 SV=1	5	5	1.000	5	5	5.000
3003	1	sp|Q8BXZ1|TMX3_MOUSE	 	 	 	 	22.6	456	51847	Protein disulfide-isomerase TMX3 OS=Mus musculus OX=10090 GN=Tmx3 PE=1 SV=2	11	11	1.000	11	11	11.000
3004	1	sp|Q8BY02|NKRF_MOUSE	 	 	 	 	12.6	690	77738	NF-kappa-B-repressing factor OS=Mus musculus OX=10090 GN=Nkrf PE=2 SV=3	5	5	1.000	5	5	5.000
3005	1	sp|Q8BY71|HAT1_MOUSE	 	 	 	 	17.8	416	49278	Histone acetyltransferase type B catalytic subunit OS=Mus musculus OX=10090 GN=Hat1 PE=1 SV=1	11	11	1.000	11	11	11.000
3006	1	sp|Q8BY87|UBP47_MOUSE	 	 	 	 	23.8	1376	157454	Ubiquitin carboxyl-terminal hydrolase 47 OS=Mus musculus OX=10090 GN=Usp47 PE=1 SV=2	30	30	1.000	30	30	30.000
3007	1	sp|Q8BY89|CTL2_MOUSE	 	 	 	 	6.4	706	80109	Choline transporter-like protein 2 OS=Mus musculus OX=10090 GN=Slc44a2 PE=1 SV=2	3	3	1.000	3	3	3.000
3008	1	sp|Q8BYA0|TBCD_MOUSE	 	 	 	 	16.6	1196	133320	Tubulin-specific chaperone D OS=Mus musculus OX=10090 GN=Tbcd PE=1 SV=1	22	22	1.000	22	22	22.000
